Distance,Stroke,Year,NYS_Cut,AAC_Cut,AA_Cut,Sex
100,Breast,2019,01:08.6,01:03.8,01:02.6,F
200,Free,2018,01:57.2,01:50.7,01:57.2,F
200,IM,2018,02:12.8,02:04.0,02:01.5,F
50,Free,2018,24.84,23.58,23.23,F
,11 Dives,2018,,,,F
100,Fly,2018,01:00.0,55.63,54.45,F
100,Free,2018,54.36,51.13,50.29,F
500,Free,2018,05:14.7,04:57.1,04:52.3,F
100,Back,2018,01:00.4,56.11,54.89,F
100,Breast,2018,01:08.6,01:04.0,01:02.6,F
200,Free,2017,01:57.2,01:50.7,01:48.8,F
200,IM,2017,02:12.8,02:04.1,02:01.9,F
50,Free,2017,24.84,23.63,23.24,F
,11 Dives,2017,,,,F
100,Fly,2017,01:00.0,55.75,54.56,F
100,Free,2017,54.36,51.17,50.41,F
500,Free,2017,05:14.7,04:57.1,04:52.1,F
100,Back,2017,01:00.4,56.3,55.05,F
100,Breast,2017,01:08.6,01:04.3,01:02.8,F
200,Free,2016,01:57.2,01:50.7,01:48.0,F
200,IM,2016,02:12.8,02:04.4,02:02.2,F
50,Free,2016,24.84,23.68,23.27,F
,11 Dives,2016,,,,F
100,Fly,2016,01:00.0,55.9,54.65,F
100,Free,2016,54.36,51.27,50.5,F
500,Free,2016,05:14.7,04:57.5,04:52.4,F
100,Back,2016,01:00.4,56.39,55.18,F
100,Breast,2016,01:08.6,01:04.6,01:03.0,F
200,Free,2015,01:57.2,01:50.8,01:49.1,F
200,IM,2015,02:12.8,02:04.6,02:02.5,F
50,Free,2015,24.84,23.71,23.23,F
,11 Dives,2015,,,,F
100,Fly,2015,01:00.0,55.98,54.84,F
100,Free,2015,54.36,51.4,50.59,F
500,Free,2015,05:14.7,04:57.6,04:52.2,F
100,Back,2015,01:00.4,56.51,55.31,F
100,Breast,2015,01:08.6,01:04.7,01:03.2,F
200,Free,2014,01:57.2,01:51.2,01:49.4,F
200,IM,2014,02:12.8,02:05.3,02:03.0,F
50,Free,2014,24.84,23.8,23.42,F
,11 Dives,2014,,,,F
100,Fly,2014,01:00.0,56.3,55.26,F
100,Free,2014,54.36,51.57,50.82,F
500,Free,2014,05:14.7,04:57.6,04:52.3,F
100,Back,2014,01:00.4,56.78,55.57,F
100,Breast,2014,01:08.6,01:05.1,01:03.8,F
200,Free,2013,01:57.2,01:51.2,01:49.4,F
200,IM,2013,02:12.8,02:03.0,02:05.3,F
50,Free,2013,24.84,23.8,23.42,F
,11 Dives,2013,,,,F
100,Fly,2013,01:00.0,56.3,55.26,F
100,Free,2013,54.36,51.57,50.81,F
500,Free,2013,05:14.7,04:57.6,04:52.3,F
100,Back,2013,01:00.4,56.78,55.57,F
100,Breast,2013,01:08.6,01:05.1,01:03.8,F
200,Free,2012,01:57.2,01:51.6,01:49.7,F
200,IM,2012,02:12.8,02:05.5,02:03.4,F
50,Free,2012,24.84,23.85,23.47,F
,11 Dives,2012,,,,F
100,Fly,2012,01:00.0,56.52,55.39,F
100,Free,2012,54.36,51.67,50.91,F
500,Free,2012,05:14.7,04:58.0,04:52.7,F
100,Back,2012,01:00.5,56.94,55.76,F
100,Breast,2012,01:08.6,01:05.2,01:03.9,F
200,MR,2011,01:41.2,01:37.2,01:35.6,M
200,Free,2011,01:48.2,01:41.4,01:39.9,M
200,IM,2011,02:02.5,01:54.1,01:52.1,M
50,Free,2011,22.47,21.21,20.91,M
,11 Dives,2011,396,,,M
100,Fly,2011,54.55,50.89,49.93,M
100,Free,2011,49.29,46.34,45.68,M
500,Free,2011,04:55.2,04:36.4,04:31.5,M
200,FR,2011,01:30.1,01:27.2,01:25.9,M
100,Back,2011,55.91,51.89,50.74,M
100,Breast,2011,01:02.5,58.57,57.45,M
400,FR,2011,03:20.8,03:11.5,03:08.5,M
200,MR,2010,01:41.3,01:37.0,01:38.5,M
200,Free,2010,01:48.3,01:43.0,01:41.5,M
200,IM,2010,02:02.5,01:56.0,01:54.0,M
50,Free,2010,22.51,21.48,21.15,M
,11 Dives,2010,,,,M
100,Fly,2010,54.45,51.72,50.8,M
100,Free,2010,49.36,49.98,46.35,M
500,Free,2010,04:55.2,04:39.8,04:35.5,M
200,FR,2010,01:30.1,01:28.3,01:26.9,M
100,Back,2010,55.94,52.9,51.92,M
100,Breast,2010,01:03.0,59.4,58.4,M
400,FR,2010,03:21.0,03:13.9,03:11.3,M
200,MR,2009,01:41.3,01:38.5,01:37.2,M
200,Free,2009,01:48.3,01:43.0,01:41.7,M
200,IM,2009,02:02.5,01:56.0,01:54.3,M
50,Free,2009,22.54,21.48,21.2,M
,11 Dives,2009,396,,,M
100,Fly,2009,54.55,51.72,50.92,M
100,Free,2009,49.36,46.98,46.44,M
500,Free,2009,04:55.2,04:39.8,04:36.1,M
200,FR,2009,01:30.1,01:28.3,01:27.1,M
100,Back,2009,56.98,52.9,52.09,M
100,Breast,2009,01:03.0,59.4,58.58,M
400,FR,2009,03:21.0,03:13.9,03:11.6,M
200,MR,2008,01:41.7,01:38.8,01:37.6,M
200,Free,2008,01:49.5,01:43.3,01:42.0,M
200,IM,2008,02:05.0,01:56.2,01:54.5,M
50,Free,2008,22.57,21.53,21.25,M
,11 Dives,2008,,,,M
100,Fly,2008,55.38,51.85,51.03,M
100,Free,2008,49.84,47.1,46.59,M
500,Free,2008,04:59.2,04:40.3,04:37.0,M
200,FR,2008,01:30.7,01:28.4,01:27.3,M
100,Back,2008,57.02,53.11,52.24,M
100,Breast,2008,01:03.4,59.53,58.71,M
400,FR,2008,03:21.0,03:14.3,03:12.0,M
200,MR,2007,01:41.7,01:39.1,01:37.9,M
200,Free,2007,01:49.5,01:43.5,01:42.3,M
200,IM,2007,02:05.0,01:56.2,01:54.7,M
50,Free,2007,22.57,21.55,21.29,M
,11 Dives,2007,,,,M
100,Fly,2007,55.38,51.91,51.02,M
100,Free,2007,49.99,47.18,46.65,M
500,Free,2007,04:59.2,04:41.0,04:37.3,M
200,FR,2007,01:30.7,01:28.6,01:27.5,M
100,Back,2007,57.02,53.24,52.29,M
100,Breast,2007,01:03.4,59.66,58.74,M
400,FR,2007,03:21.0,03:14.7,03:12.5,M
200,MR,2006,01:41.0,01:39.7,01:38.3,M
200,Free,2006,01:50.0,01:44.0,01:42.5,M
200,IM,2006,02:05.0,01:56.8,01:54.9,M
50,Free,2006,22.57,21.65,21.39,M
,11 Dives,2006,,,,M
100,Fly,2006,55.38,52.16,51.25,M
100,Free,2006,50.03,47.35,46.79,M
500,Free,2006,04:41.7,04:42.5,04:38.3,M
200,FR,2006,01:30.0,01:29.1,01:25.8,M
100,Back,2006,57.02,53.52,52.52,M
100,Breast,2006,01:03.4,59,56.73,M
400,FR,2006,03:21.0,03:15.7,03:13.3,M
200,MR,2005,01:41.0,01:39.9,01:37.8,M
200,Free,2005,01:50.0,01:44.2,01:42.0,M
200,IM,2005,02:05.0,01:57.3,01:54.2,M
50,Free,2005,22.57,21.68,21.29,M
,11 Dives,2005,,,,M
100,Fly,2005,55.38,52.29,51.01,M
100,Free,2005,50.03,47.48,46.59,M
500,Free,2005,05:00.8,04:43.7,04:36.6,M
200,FR,2005,01:30.0,01:29.3,01:27.5,M
100,Back,2005,57.02,53.63,52.14,M
100,Breast,2005,01:03.4,01:00.2,58.56,M
400,FR,2005,03:21.0,03:16.1,03:12.7,M
200,MR,2004,01:41.0,01:40.2,01:37.8,M
200,Free,2004,01:50.0,01:44.3,01:41.9,M
200,IM,2004,02:05.0,01:57.5,01:54.2,M
50,Free,2004,22.57,21.74,21.31,M
,11 Dives,2004,,,,M
100,Fly,2004,55.38,52.37,51.09,M
